"Rank
2023","Rank
2022",Team,Country,"Value in
$ millions","% change
on year","Debt as
% of value",Revenue ($M),"Operating
income ($M)"
1,1,Real Madrid,Spain,"6,070",19,16,807,-38
2,3,Manchester United,England,"6,000",30,11,779,108
3,2,Barcelona,Spain,"5,508",10,13,721,53
4,4,Liverpool,England,"5,288",19,2,793,129
5,6,Manchester City,England,"4,990",18,0,815,175
6,5,Bayern Munich,Germany,"4,860",13,0,739,133
7,7,Paris Saint-Germain,France,"4,212",32,2,739,-219
8,8,Chelsea,England,"3,100",0,0,642,35
9,10,Tottenham Hotspur,England,"2,803",19,39,591,152
10,11,Arsenal,England,"2,263",10,1,490,108
11,9,Juventus,Italy,"2,160",-12,10,453,-90
12,12,Borussia Dortmund,Germany,"1,928",7,0,403,91
13,13,Atlético Madrid,Spain,"1,539",3,11,445,32
14,14,Milan,Italy,"1,200",17,0,299,11
15,18,West Ham United,England,"1,079",20,6,340,98
16,15,Internazionale,Italy,"1,026",3,43,348,44
17,-,Los Angeles,United States,"1,000",-,0,116,8
18,-,LA Galaxy,United States,925,-,0,98,4
19,-,Atlanta United,United States,850,-,0,81,6
20,-,Crystal Palace,England,806,-,0,214,22
